date,month,time,desc,type,year,event,dejeuner,entretien,deplacement,voyage
2022-01-03,01,13h15,"Déjeuner avec M. Jean CASTEX, Premier ministre.",Déjeuner,2022,True,True,False,False,False
2022-01-04,01,18h00,Déplacement au Conseil d’État.,Déplacement,2022,True,False,False,True,False
2022-01-05,01,09h30,Conseil de défense COVID-19.,Conseil de défense,2022,True,False,False,False,False
2022-01-05,01,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-01-05,01,18h00,Rencontre avec les autorités religieuses.,Rencontre,2022,True,False,False,False,False
2022-01-06,01,14h00,"Ouverture du Congrès de la Fédération des acteurs de la solidarité, en visioconférence.",Réunion,2022,True,False,False,False,False
2022-01-06,01,16h30,Rencontre avec les membres du Conseil constitutionnel.,Rencontre,2022,True,False,False,False,False
2022-01-06,01,18h30,"Cérémonie de remise du prix de la personnalité de l’année par la Revue du vin de France, à la mairie du Vème arrondissement de Paris.",Cérémonie officielle,2022,True,False,False,False,False
2022-01-06,01,20h30,Dîner de travail avec les membres de la Commission européenne.,Dîner,2022,True,False,False,False,False
2022-01-07,01,09h00,"Cérémonie d’hommage à Jean Monnet et Simone Veil, au Panthéon.",Cérémonie officielle,2022,True,False,False,False,False
2022-01-07,01,10h00,"Entretien avec Mme Ursula VON DER LEYEN, Présidente de la Commission européenne.",Entretien,2022,True,False,True,False,False
2022-01-07,01,11h45,"Conférence de presse conjointe avec Mme Ursula VON DER LEYEN, Présidente de la Commission européenne.",Conférence de presse,2022,True,False,False,False,False
2022-01-10,01,Toute la journée,Déplacement dans les Alpes-Maritimes.,Déplacement,2022,True,False,False,True,False
2022-01-11,01,11h30,"Remise du rapport « Les Lumières à l'ère numérique », par le sociologue M. Gérald BRONNER, président de la Commission, et ses membres.",Remise de rapport,2022,True,False,False,False,False
2022-01-11,01,13h00,"Déjeuner de travail avec M. Charles MICHEL, Président du Conseil européen.",Déjeuner,2022,True,True,False,False,False
2022-01-11,01,17h00,"Rencontre avec des membres de l’Association de la Presse Présidentielle (APP), ainsi que des membres des associations, organisations et syndicats de presse.",Conférence de presse,2022,True,False,False,False,False
2022-01-12,01,09h30,Conseil restreint de Défense et de Sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-01-12,01,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-01-12,01,12h30,Déjeuner avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-01-12,01,16h00,Présentation de la galette de l’Epiphanie et remise des trophées des Rabelais des jeunes talents.,Réception,2022,True,False,False,False,False
2022-01-13,01,10h00,"Entretien avec M. Thierry BURKHARD, Chef d’Etat-Major des armées.",Entretien,2022,True,False,True,False,False
2022-01-13,01,11h00,"Entretien en visioconférence avec M. Pedro SANCHEZ, Président du Gouvernement d’Espagne.",Entretien,2022,True,False,True,False,False
2022-01-13,01,16h00,Entretien avec l’Amiral Philippe de GAULLE.,Entretien,2022,True,False,True,False,False
2022-01-13,01,17h30,"Clôture du Congrès de la Conférence des présidents d’université, à l’occasion du 50ème anniversaire.",Entretien,2022,True,False,True,False,False
2022-01-17,01,10h00,"Entretien avec M. Mark COSTA, président directeur général de l’entreprise américaine Eastman.",Entretien,2022,True,False,True,False,False
2022-01-17,01,11h00,"Entretien avec M. Vasant NARASIMHAN, Président directeur général de Novartis.",Entretien,2022,True,False,True,False,False
2022-01-17,01,Après-midi,Déplacement sur le site Alsachimie (BASF) dans le Haut-Rhin.,Déplacement,2022,True,False,False,True,False
2022-01-17,01,18h00,"Cérémonie d’hommage au président du Parlement européen, M. David Sassoli.",Cérémonie officielle,2022,True,False,False,False,False
2022-01-18,01,09h00,Conseil restreint de Défense et de Sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-01-18,01,10h30,"Entretien avec M. Jean-Yves LE DRIAN, ministre de l'Europe et des Affaires étrangères et Mme Florence PARLY, ministre des Armées.",Entretien,2022,True,False,True,False,False
2022-01-18,01,13h00,Déjeuner avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-01-19,01,11h00,Déplacement du Président de la République au Parlement européen à Strasbourg.,Déplacement,2022,True,False,False,True,False
2022-01-19,01,16h00,"Visite aux Armées sur le camp d’Oberhoffen, à Haguenau, dans le Bas-Rhin.",Discours,2022,True,False,False,False,False
2022-01-20,01,09h00,Conseil de défense Covid-19.,Conseil de défense,2022,True,False,False,False,False
2022-01-20,01,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-01-20,01,16h00,"Inauguration du lieu « le19M », espace de rencontres dédié à la création et à la transmission des métiers d'art de la mode, à Aubervilliers.",Déplacement,2022,True,False,False,True,False
2022-01-20,01,19h30,Annonce et remise des prix aux 100 lauréats French Design.,Cérémonie officielle,2022,True,False,False,False,False
2022-01-24,01,Toute la journée,Déplacement dans la Creuse.,Déplacement,2022,True,False,False,True,False
2022-01-25,01,Matin,Déplacement dans la Haute-Vienne.,Déplacement,2022,True,False,False,True,False
2022-01-25,01,Après-midi,Déplacement du Président de la République à Berlin.,Déplacement,2022,True,False,False,True,False
2022-01-26,01,09h00,Conseil restreint de défense et de sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-01-26,01,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-01-26,01,13h00,Déjeuner avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-01-26,01,16h00,Rencontre avec des représentants de rapatriés d’Algérie.,Rencontre,2022,True,False,False,False,False
2022-01-27,01,10h30,"Entretien avec M. Paolo GENTILONI, commissaire européen à l’économie.",Entretien,2022,True,False,True,False,False
2022-01-27,01,15h30,"Visio conférence avec des élus des départements et collectivités d’outre-mer, actuellement en état d’urgence sanitaire.",Réunion,2022,True,False,False,False,False
2022-02-01,02,09h00,Conseil restreint de défense et de sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-02-01,02,10h30,"Entretien avec M. Jean-Yves LE DRIAN, ministre de l'Europe et des Affaires  étrangères.",Entretien,2022,True,False,True,False,False
2022-02-01,02,13h15,Déjeuner avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-02-01,02,15h00,"Entretien téléphonique avec M. Justin TRUDEAU, Premier ministre du Canada.",Entretien,2022,True,False,True,False,False
2022-02-01,02,17h30,"Entretien avec Monseigneur Pascal GOLLNISCH, directeur général de l'Œuvre  d'Orient et M. Charles PERSONNAZ, directeur de l’Institut national du  patrimoine.",Entretien,2022,True,False,True,False,False
2022-02-01,02,18h00,"Rencontre consacrée aux actions de la France en faveur des chrétiens d’Orient,  suivie de la remise de décoration à Monseigneur Pascal GOLLNISCH.",Rencontre,2022,True,False,False,False,False
2022-02-02,02,09h00,Conseil de défense Covid-19.,Conseil de défense,2022,True,False,False,False,False
2022-02-02,02,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-02-02,02,11h50,Participation vidéo à l’événement organisé par la Fondation Abbé Pierre à l’occasion de la présentation de son 27ème rapport annuel sur l’état du mal-logement en France.,Rencontre,2022,True,False,False,False,False
2022-02-02,02,Après-midi,"Déplacement dans le Pas-de-Calais à Liévin pour une rencontre avec les élus et  les acteurs du bassin minier, puis au Louvre Lens.",Déplacement,2022,True,False,False,True,False
2022-02-02,02,18h00,Déplacement dans le Nord à Tourcoing à l’occasion de la réunion informelle des  ministres chargés de la Justice et des Affaires intérieures (JAI) organisée dans le cadre de la Présidence française du Conseil de l’Union européenne.,Déplacement,2022,True,False,False,True,False
2022-02-02,02,23h30,"Entretien téléphonique avec Joe BIDEN, Président des États-Unis d'Amérique.",Entretien,2022,True,False,True,False,False
2022-02-03,02,10h30,"Entretien en visioconférence avec Charles MICHEL, Président du Conseil Européen.",Entretien,2022,True,False,True,False,False
2022-02-03,02,12h30,"Entretien téléphonique avec Andrzej DUDA , Président de la République de Pologne.",Entretien,2022,True,False,True,False,False
2022-02-03,02,18h00,"Entretien téléphonique avec Vladimir POUTINE, Président de la Fédération de Russie.",Entretien,2022,True,False,True,False,False
2022-02-03,02,19h30,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-02-05,02,12h30,"Entretien téléphonique avec Jens STOLTENBERG, Secrétaire général de l’OTAN.",Entretien,2022,True,False,True,False,False
2022-02-07,02,10h00,Participation vidéo au Forum des mondes méditerranéens.,Réunion,2022,True,False,False,False,False
2022-02-07,02,Toute la journée,Déplacement en Fédération de Russie.,Déplacement,2022,True,False,False,True,False
2022-02-08,02,Toute la journée,Déplacements en Ukraine et en République fédérale d’Allemagne.,Déplacement,2022,True,False,False,True,False
2022-02-09,02,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-02-10,02,Toute la journée,Déplacement dans le Territoire de Belfort.,Déplacement,2022,True,False,False,True,False
2022-02-11,02,Toute la journée,"Présidence du segment de haut niveau du « One Ocean Summit », à Brest.",Sommet,2022,True,False,False,False,False
2022-02-11,02,20h00,"Dîner de lancement de la Saison croisée France Portugal en présence de M. Marcelo REBELO DE SOUSA, Président de la République portugaise.",Dîner,2022,True,False,False,False,False
2022-02-14,02,12h00,"Entretien avec Mme Samia SULUHU, Présidente de la République unie de Tanzanie.",Entretien,2022,True,False,True,False,False
2022-02-14,02,17h00,Entretien avec l’amiral Philippe de GAULLE.,Entretien,2022,True,False,True,False,False
2022-02-15,02,09h00,Conseil restreint de Défense et de Sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-02-15,02,09h30,Conseil de défense Covid-19.,Conseil de défense,2022,True,False,False,False,False
2022-02-15,02,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-02-15,02,13h00,Déjeuner avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-02-15,02,19h00,"Remise du rapport annuel de la Cour des comptes par M. Pierre MOSCOVICI, Premier président de la Cour des comptes.",Remise de rapport,2022,True,False,False,False,False
2022-02-16,02,Après-midi,"Déplacement en Haute-Garonne à Toulouse à l’occasion de la réunion informelle des ministres européens chargés de l’Espace, organisée dans le cadre de la présidence française du Conseil de l’Union européenne.",Déplacement,2022,True,False,False,True,False
2022-02-16,02,18h00,"Conférence de l’Agence française de développement « Investir ensemble, pour une nouvelle alliance entre l’Afrique et l’Europe » en amont du Sommet UE-UA, à Station F.",Conférence,2022,True,False,False,False,False
2022-02-17,02,09h00,Conférence de presse sur l'engagement de la France et de ses partenaires au Sahel.,Conférence de presse,2022,True,False,False,False,False
2022-02-17,02,Après-midi,"Sommet Union Européenne - Union Africaine, à Bruxelles",Sommet,2022,True,False,False,False,False
2022-02-18,02,Toute la journée,"Sommet Union Européenne - Union Africaine, à Bruxelles.",Sommet,2022,True,False,False,False,False
2022-02-19,02,11h00,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-02-20,02,11h00,"Entretien téléphonique avec Vladimir POUTINE, Président de la Fédération de Russie.",Entretien,2022,True,False,True,False,False
2022-02-20,02,13h00,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-02-20,02,17h30,"Entretien téléphonique avec Olaf SCHOLZ, Chancelier de la République fédérale d'Allemagne.",Entretien,2022,True,False,True,False,False
2022-02-20,02,20h30,"Entretien téléphonique avec Boris JOHNSON, Premier ministre du Royaume-Uni.",Entretien,2022,True,False,True,False,False
2022-02-20,02,21h45,"Entretien téléphonique avec Joe BIDEN, Président des États-Unis d'Amérique.",Entretien,2022,True,False,True,False,False
2022-02-20,02,23h00,"Entretien téléphonique avec Vladimir POUTINE, Président de la Fédération de Russie.",Entretien,2022,True,False,True,False,False
2022-02-21,02,16h15,"Entretien téléphonique avec Vladimir POUTINE, Président de la Fédération de Russie.",Entretien,2022,True,False,True,False,False
2022-02-21,02,17h20,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-02-21,02,17h40,"Entretien téléphonique avec Olaf SCHOLZ, Chancelier de la République fédérale d'Allemagne.",Entretien,2022,True,False,True,False,False
2022-02-21,02,18h00,"Entretien téléphonique avec Charles MICHEL, Président du Conseil Européen.",Entretien,2022,True,False,True,False,False
2022-02-21,02,18h20,"Entretien avec Mme Ursula VON DER LEYEN, Présidente de la Commission européenne.",Entretien,2022,True,False,True,False,False
2022-02-21,02,19h00,Conseil restreint de Défense et de Sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-02-21,02,21h00,"Entretien téléphonique avec Joe BIDEN, Président des États-Unis d'Amérique, et Olaf SCHOLZ, Chancelier de la République fédérale d'Allemagne.",Entretien,2022,True,False,True,False,False
2022-02-22,02,11h00,"Entretien avec Mme Christiane LAMBERT, Présidente de la Fédération nationale des syndicats d'exploitants agricoles (FNSEA).",Entretien,2022,True,False,True,False,False
2022-02-22,02,12h00,"Entretien avec M. Samuel VANDAELE, Président des Jeunes Agriculteurs.",Entretien,2022,True,False,True,False,False
2022-02-23,02,09h00,Conseil restreint de Défense et de Sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-02-23,02,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-02-23,02,13h00,Déjeuner avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-02-23,02,21h30,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-02-24,02,08h00,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-02-24,02,09h00,Conseil de défense sur l'évolution de la situation en Ukraine.,Conseil de défense,2022,True,False,False,False,False
2022-02-24,02,13h30,Adresse aux Français.,Discours,2022,True,False,False,False,False
2022-02-24,02,15h00,Visioconférence des leaders du G7.,Réunion,2022,True,False,False,False,False
2022-02-24,02,20h00,Réunion extraordinaire du Conseil européen sur la situation en Ukraine.,Sommet,2022,True,False,False,False,False
2022-02-25,02,11h00,"Entretien avec M. François HOLLANDE, ancien Président de la République.",Entretien,2022,True,False,True,False,False
2022-02-25,02,12h00,"Entretien avec M. Nicolas SARKOZY, ancien Président de la République.",Entretien,2022,True,False,True,False,False
2022-02-26,02,07h00,Visite au salon international de l’agriculture.,Déplacement,2022,True,False,False,True,False
2022-02-26,02,10h30,"Entretien téléphonique avec Salomé ZOURABICHVILI, Présidente de la Géorgie.",Entretien,2022,True,False,True,False,False
2022-02-26,02,11h00,"Entretien téléphonique avec Maia SANDU, Présidente de la République de Moldavie.",Entretien,2022,True,False,True,False,False
2022-02-26,02,17h00,Conseil de défense.,Conseil de défense,2022,True,False,False,False,False
2022-02-26,02,19h00,Entretien téléphonique avec Alexandre LOUKACHENKO.,Entretien,2022,True,False,True,False,False
2022-02-27,02,00h00,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-02-27,02,11h00,"Entretien téléphonique avec Ursula VON DER LEYEN, Présidente de la Commission européenne.",Entretien,2022,True,False,True,False,False
2022-02-27,02,11h30,"Entretien téléphonique avec Kassym-Jomart TOKAÏEV, Président de la République du Kazakhstan.",Entretien,2022,True,False,True,False,False
2022-02-27,02,12h00,"Entretien téléphonique avec Cheikh Mohamed bin Zayed AL NAHYAN, Prince héritier d’Abou Dabi.",Entretien,2022,True,False,True,False,False
2022-02-27,02,12h30,"Entretien téléphonique avec Ilham ALIEV, Président de la République d'Azerbaïdjan.",Entretien,2022,True,False,True,False,False
2022-02-27,02,16h30,"Entretien téléphonique avec Mohamed bin Salman bin Abdulaziz AL-SAOUD, Prince héritier du Royaume d’Arabie saoudite.",Entretien,2022,True,False,True,False,False
2022-02-27,02,16h50,"Entretien téléphonique avec Tamim ben Hamad AL THANI, Emir du Qatar.",Entretien,2022,True,False,True,False,False
2022-02-27,02,17h10,"Entretien téléphonique avec Nikol PACHINIAN, Premier ministre de la République d’Arménie.",Entretien,2022,True,False,True,False,False
2022-02-27,02,18h30,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-02-28,02,11h00,Conseil restreint de Défense et de Sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-02-28,02,12h45,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-02-28,02,13h10,"Entretien téléphonique avec Vladimir POUTINE, Président de la Fédération de Russie.",Entretien,2022,True,False,True,False,False
2022-02-28,02,15h00,"Entretien avec Salomé ZOURABICHVILI, Présidente de la Géorgie.",Entretien,2022,True,False,True,False,False
2022-02-28,02,17h30,Entretien en visioconférence en format « Quint élargi ».,Réunion,2022,True,False,False,False,False
2022-02-28,02,19h00,"Dîner de travail avec les représentants des industriels européens de European Round Table for Industry, avec  Olaf SCHOLZ, Chancelier de la République fédérale d’Allemagne, et Ursula VON DER LEYEN, Présidente de la Commission européenne.",Dîner,2022,True,False,False,False,False
2022-03-01,03,10h50,"Entretien téléphonique avec Fumio KISHIDA, Premier ministre du Japon.",Entretien,2022,True,False,True,False,False
2022-03-01,03,11h30,"Entretien téléphonique avec Ilham ALIEV, Président de la République d'Azerbaïdjan.",Entretien,2022,True,False,True,False,False
2022-03-01,03,12h00,"Entretien téléphonique avec Sauli NIINISTÖ, Président de la République de Finlande.",Entretien,2022,True,False,True,False,False
2022-03-01,03,12h30,"Entretien téléphonique avec Gitanas NAUSÉDA, Président de la République de Lituanie.",Entretien,2022,True,False,True,False,False
2022-03-01,03,15h00,"Entretien téléphonique avec Narendra MODI, Premier ministre de l’Inde.",Entretien,2022,True,False,True,False,False
2022-03-01,03,17h00,Réunion avec les acteurs du dialogue de Trianon.,Réunion,2022,True,False,False,False,False
2022-03-02,03,09h00,Conseil de Défense et de Sécurité nationale sur la situation en Ukraine.,Conseil de défense,2022,True,False,False,False,False
2022-03-02,03,09h45,Conseil de Défense Covid-19.,Conseil de défense,2022,True,False,False,False,False
2022-03-02,03,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-03-02,03,20h00,Adresse aux Français.,Discours,2022,True,False,False,False,False
2022-03-03,03,10h00,"Entretien téléphonique avec Vladimir POUTINE, Président de la Fédération de Russie.",Entretien,2022,True,False,True,False,False
2022-03-03,03,11h30,"Entretien téléphonique avec Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-03-06,03,12h00,"Entretien téléphonique avec le Président de la Fédération de Russie, M. Vladimir POUTINE.",Entretien,2022,True,False,True,False,False
2022-03-08,03,09h00,Prestation de serment des nouveaux membres du Conseil constitutionnel.,Cérémonie officielle,2022,True,False,False,False,False
2022-03-08,03,10h00,"Visioconférence avec M. Olaf SCHOLZ, Chancelier de la République fédérale d'Allemagne et M. Xi JINPING, Président de la République populaire de Chine.",Entretien,2022,True,False,True,False,False
2022-03-08,03,11h00,Evénement consacré à l’égalité professionnelle entre les femmes et les hommes en Europe.,Conférence,2022,True,False,False,False,False
2022-03-08,03,13h15,Déjeuner avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-03-08,03,16h00,Cérémonie en l’honneur des premières lauréates de l'initiative Marianne pour les défenseurs des droits de l’Homme.,Cérémonie officielle,2022,True,False,False,False,False
2022-03-08,03,18h00,"Entretien avec M. Antony BLINKEN, Secrétaire d’Etat des Etats-Unis d’Amérique.",Entretien,2022,True,False,True,False,False
2022-03-09,03,09h00,Conseil de Défense et de Sécurité Nationale.,Conseil de défense,2022,True,False,False,False,False
2022-03-09,03,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-03-09,03,13h00,"Déjeuner de travail avec M. Mark RUTTE, Premier ministre du Royaume des Pays-Bas.",Déjeuner,2022,True,True,False,False,False
2022-03-09,03,16h00,"Entretien avec M. Nikol PACHINIAN, Premier ministre d'Arménie.",Entretien,2022,True,False,True,False,False
2022-03-09,03,17h00,Evénement « Ambitions France - Arménie ».,Conférence,2022,True,False,False,False,False
2022-03-10,03,Toute la journée,"Sommet informel des chefs d’État et de gouvernement des Etats membres de l'Union européenn, au Château de Versailles.",Sommet,2022,True,False,False,False,False
2022-03-11,03,Toute la journée,"Sommet informel des chefs d’État et de gouvernement des Etats membres de l'Union européenne, au Château de Versailles.",Sommet,2022,True,False,False,False,False
2022-03-11,03,16h30,"Cérémonie de commémoration de la journée nationale et européenne en hommage aux victimes du terrorisme, au Grand Trianon.",Cérémonie officielle,2022,True,False,False,False,False
2022-03-15,03,14h00,"Déplacement dans le Maine-et-Loire, visite au sein d'un centre accueillant des réfugiés ukrainiens.",Déplacement,2022,True,False,False,True,False
2022-03-16,03,09h45,Conseil de Défense et de Sécurité Nationale.,Conseil de défense,2022,True,False,False,False,False
2022-03-16,03,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-03-16,03,13h00,Déjeuner de travail avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-03-16,03,19h30,Clôture de la cérémonie de remise de la médaille de l’enfance et des familles.,Cérémonie officielle,2022,True,False,False,False,False
2022-03-19,03,12h00,Réception à l’occasion du soixantième anniversaire de la fin de la guerre d’Algérie.,Réception,2022,True,False,False,False,False
2022-03-20,03,17h40,Déplacement à Toulouse à l’occasion des cérémonies de commémoration des dix ans des attentats de Toulouse et Montauban.,Déplacement,2022,True,False,False,True,False
2022-03-21,03,12h30,Déjeuner avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-03-21,03,14h30,"Entretien avec M. Pedro SANCHEZ, Président du gouvernement d'Espagne.",Entretien,2022,True,False,True,False,False
2022-03-21,03,16h00,"Entretien téléphonique en format « Quint » avec M. Joe BIDEN, Président des Etats-Unis d’Amérique, M. Mario DRAGHI, Président du Conseil des ministres d’Italie, M. Olaf SCHOLZ, Chancelier de la République fédérale d’Allemagne, et M. Boris JOHNSON, Premier ministre du Royaume-Uni.",Entretien,2022,True,False,True,False,False
2022-03-21,03,19h00,"Entretien avec M. Sauli NIINISTÖ, Président de la République de Finlande.",Entretien,2022,True,False,True,False,False
2022-03-21,03,20h30,"Entretien téléphonique avec M. Volodymyr ZELENSKY, Président de l’Ukraine.",Entretien,2022,True,False,True,False,False
2022-03-22,03,10h30,"Entretien téléphonique avec M. Joko WIDODO, Président de la République d’Indonésie.",Entretien,2022,True,False,True,False,False
2022-03-22,03,17h00,Entretien téléphonique avec M. Vladimir POUTINE Président de la Fédération de Russie.,Entretien,2022,True,False,True,False,False
2022-03-22,03,18h00,"Entretien téléphonique avec M. Olaf SCHOLZ, Chancelier de la République fédérale d'Allemagne.",Entretien,2022,True,False,True,False,False
2022-03-22,03,18h30,"Entretien téléphonique avec M. Mario DRAGHI, Président du Conseil des ministres d’Italie.",Entretien,2022,True,False,True,False,False
2022-03-23,03,10h00,Conseil de Défense et de Sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-03-23,03,11h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-03-24,03,10h00,"Sommet extraordinaire de l'Otan, à Bruxelles.",Sommet,2022,True,False,False,False,False
2022-03-24,03,14h00,"Sommet extraordinaire du G7, à Bruxelles.",Sommet,2022,True,False,False,False,False
2022-03-24,03,16h00,"Conseil européen, à Bruxelles.",Sommet,2022,True,False,False,False,False
2022-03-25,03,Toute la journée,"Conseil européen, à Bruxelles.",Sommet,2022,True,False,False,False,False
2022-03-29,03,10h00,Conseil de défense Covid-19.,Conseil de défense,2022,True,False,False,False,False
2022-03-29,03,13h00,Déjeuner avec le Premier ministre.,Déjeuner,2022,True,True,False,False,False
2022-03-29,03,15h15,"Entretien téléphonique en format « Quint » avec M. Joe BIDEN, Président des Etats-Unis d’Amérique, M. Mario DRAGHI, Président du Conseil des ministres d’Italie, M. Olaf SCHOLZ, Chancelier de la République fédérale d’Allemagne, et M. Boris JOHNSON, Premier ministre du Royaume-Uni.",Entretien,2022,True,False,True,False,False
2022-03-29,03,16h30,Entretien téléphonique avec M. Vladimir POUTINE Président de la Fédération de Russie.,Entretien,2022,True,False,True,False,False
2022-03-29,03,17h30,Cérémonie en l’honneur de la délégation française aux Jeux olympiques et paralympiques de Pékin 2022.,Réception,2022,True,False,False,False,False
2022-03-30,03,09h00,Conseil de Défense et de Sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-03-30,03,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-04-06,04,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-04-13,04,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-04-15,04,16h00,Visite sur le chantier de Notre-Dame de Paris.,Déplacement,2022,True,False,False,True,False
2022-04-19,04,15h45,Visioconférence en format « Quint élargi » sur la guerre en Ukraine.,Réunion,2022,True,False,False,False,False
2022-04-20,04,10h30,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-04-27,04,Matin,Visite à Cergy dans le Val d'Oise.,Déplacement,2022,True,False,False,True,False
2022-04-27,04,16h00,Hommage national à Michel Bouquet.,Cérémonie officielle,2022,True,False,False,False,False
2022-04-28,04,12h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-04-28,04,17h00,"Visite à l'hôpital militaire Percy, dans les Hauts-de-Seine.",Déplacement,2022,True,False,False,True,False
2022-04-29,04,Toute la journée,Déplacement dans les Hautes-Pyrénées.,Déplacement,2022,True,False,False,True,False
2022-05-01,05,12h00,"Cérémonie traditionnelle de remise du muguet, en présence des représentants des filières horticole, agricoles et alimentaires et du marché de Rungis.",Réception,2022,True,False,False,False,False
2022-05-03,05,12h00,Entretien téléphonique avec M. Vladimir POUTINE Président de la Fédération de Russie.,Entretien,2022,True,False,True,False,False
2022-05-04,05,12h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-05-04,05,16h00,Réunion de travail avec des experts du climat.,Réunion,2022,True,False,False,False,False
2022-05-04,05,19h00,"Entretien avec M. Narendra MODI, Premier ministre de la République de l’Inde.",Entretien,2022,True,False,True,False,False
2022-05-05,05,16h00,"Entretien téléphonique avec M. Recep Tayyip ERDOGAN, Président de la République de Turquie.",Entretien,2022,True,False,True,False,False
2022-05-05,05,16h30,"Entretien téléphonique avec M. Cyril RAMAPHOSA, Président de la République d'Afrique du Sud.",Entretien,2022,True,False,True,False,False
2022-05-05,05,17h00,"Entretien téléphonique avec M. Macky SALL, Président de la République du Sénégal.",Entretien,2022,True,False,True,False,False
2022-05-05,05,17h30,"Entretien téléphonique avec M. Azali ASSOUMANI, Président de l'Union des Comores puis avec M. Mohamed Ould GHAZOUANI, Président de la République islamique de Mauritanie.",Entretien,2022,True,False,True,False,False
2022-05-05,05,18h00,"Entretien téléphonique avec M. Abdel FATTAH AL-SISSI, Président de la République arabe d’Egypte.",Entretien,2022,True,False,True,False,False
2022-05-05,05,18h30,"Entretien téléphonique avec M. Abdelmadjid TEBBOUNE, Président de la République algérienne démocratique et populaire.",Entretien,2022,True,False,True,False,False
2022-05-06,05,11h30,"Entretien téléphonique avec M. Kaïs SAÏED, Président de la République tunisienne.",Entretien,2022,True,False,True,False,False
2022-05-06,05,12h00,"Entretien téléphonique avec M. Mahamat DEBY, Président du Conseil militaire de transition du Tchad.",Entretien,2022,True,False,True,False,False
2022-05-06,05,12h30,"Entretien téléphonique avec Cheikh Mohammed Bin Zayed AL NAHYAN, Prince héritier d’Abou Dabi.",Entretien,2022,True,False,True,False,False
2022-05-06,05,16h00,"Entretien avec M. Bill GATES, co-président de la Fondation Bill et Melinda GATES.",Entretien,2022,True,False,True,False,False
